age,annual_income,monthly_spend,tenure_months,num_products,satisfaction_score,is_active_member,has_credit_card,gender,city_segment,customer_churn
22,63076.42126153335,332.9751224440605,58,3,3,0,1,Male,Urban,1
58,87560.37714698605,212.43020766329226,47,3,2,0,0,Female,Urban,1
52,19385.24309256154,332.0390873046675,46,2,5,0,0,Male,Urban,0
40,35067.226201933474,208.83390416216054,67,1,1,0,0,Male,Suburban,1
40,46542.27116209465,166.0478315817922,22,2,5,1,1,Male,Urban,0
62,94223.57733440658,352.80177045276565,58,3,2,1,1,Female,Rural,1
22,70651.73965838592,341.12901375290943,67,3,2,1,1,Female,Rural,1
54,80346.34480922454,401.0994759849306,43,4,3,1,1,Female,Urban,1
28,42196.78161747539,626.0209272984675,61,4,5,0,0,Female,Suburban,1
22,42609.282494589475,358.82053436951855,15,1,2,1,1,Female,Suburban,1
45,73956.27433445421,387.91144738897816,63,1,5,1,1,Male,Rural,1
68,66165.48661870894,169.14141395857445,43,2,2,1,0,Male,Suburban,1
56,75974.77637728253,139.83295832490757,20,4,2,1,0,Male,Suburban,1
57,61246.58018143096,541.5961225482667,10,4,4,0,1,Female,Urban,1
55,70562.87452909254,190.71283080933748,53,1,4,1,0,Male,Suburban,1
58,68162.38169810218,173.8478299943901,34,1,2,1,1,Male,Rural,1
44,80555.34778169851,314.5261510296826,26,3,1,1,1,Male,Suburban,1
24,81140.16563888942,307.3730621271656,31,3,2,0,1,Female,Urban,1
61,32602.560112164603,193.64908909793917,71,4,3,1,0,Male,Urban,0
41,20054.62889318289,277.303749380166,34,4,1,0,0,Male,Urban,0
44,85034.90795303014,492.1126004710146,11,1,1,1,1,Male,Rural,1
37,88754.50186523874,207.16089476354836,24,1,5,1,1,Female,Urban,1
27,44587.539609733256,124.88585218873598,15,3,1,0,1,Female,Suburban,1
66,27803.29186908743,451.9631069259709,51,3,3,1,1,Female,Suburban,1
58,66980.69642014401,388.92156767132514,58,4,4,1,0,Male,Urban,1
51,83616.76452701059,233.12739310918738,61,3,2,0,1,Male,Rural,1
38,100951.89044868629,98.4966177422315,47,3,3,1,0,Female,Rural,1
60,75325.95144202902,215.75273009860115,56,2,1,1,1,Male,Rural,1
46,57565.666068286104,312.341378841102,33,1,4,0,1,Male,Rural,1
41,47137.38756830274,483.1940925837347,47,4,4,1,1,Male,Rural,1
41,65229.025833413085,174.87852351824802,13,4,5,1,0,Female,Rural,0
29,59014.705922294874,308.1672165883937,41,1,5,1,1,Female,Suburban,1
22,44698.641885423676,414.52025238528574,42,3,2,0,1,Male,Rural,1
46,105975.11301726574,40.0,8,2,1,1,1,Female,Suburban,1
64,100703.36804144262,464.73006351144596,42,2,2,1,0,Male,Urban,1
21,87720.97367110857,154.45691989109878,53,4,1,0,0,Female,Suburban,1
62,46582.992043817445,366.4793690839708,30,4,3,0,0,Female,Suburban,1
61,82100.38648594558,354.53564094550416,41,1,1,0,1,Male,Urban,1
32,77792.52818995804,471.84209480493826,24,2,5,1,0,Male,Rural,1
50,73850.91248408105,397.12941332509564,23,4,4,1,1,Female,Rural,1
26,89993.30534087555,40.0,14,4,2,1,1,Male,Suburban,1
57,77707.42285722555,210.13090539816122,27,1,5,0,1,Female,Suburban,1
54,79800.28472608671,339.34871810945924,59,4,4,1,1,Female,Rural,1
36,77738.1256674442,292.70281594322984,67,2,3,0,0,Male,Suburban,1
21,71815.82816004212,386.8655021659479,47,3,1,1,0,Female,Rural,1
68,29327.777405716333,430.51131779375874,47,1,2,0,1,Male,Suburban,1
41,66672.42154821115,405.1832431001551,46,3,3,0,1,Female,Urban,1
64,53876.1608230175,290.0015080423749,37,3,4,1,0,Male,Rural,1
53,39403.18084719959,61.512818443132744,33,3,2,0,0,Female,Urban,1
58,98636.33238601648,256.2326251603256,46,4,4,0,0,Male,Urban,1
57,99579.90681771407,378.2915407394537,57,4,2,1,1,Female,Rural,1
28,92184.41200591224,167.33738464293313,33,4,2,1,1,Male,Rural,1
36,70104.2683371175,408.3784622170207,43,3,3,0,0,Female,Rural,1
42,92012.50241905314,447.1750616174226,37,4,1,1,0,Male,Rural,1
43,65241.06361203651,337.76137668141797,24,3,3,1,0,Female,Urban,1
20,69055.94553795559,40.0,25,3,2,1,1,Male,Rural,1
46,43130.57259076034,141.06762922034753,11,3,2,0,1,Male,Suburban,1
26,72939.8260899768,584.0664821978514,35,4,4,1,1,Male,Urban,1
56,66207.71856848834,243.4847089760271,53,1,2,0,0,Female,Suburban,1
53,38946.957663310706,42.21994876194054,51,3,4,1,1,Male,Urban,0
65,63976.05776366806,492.93463436343814,71,2,4,1,1,Female,Suburban,1
56,63405.40872286383,321.8697828161142,8,4,4,0,0,Female,Suburban,1
37,100951.2233328928,474.69166845408154,56,1,2,1,0,Male,Urban,1
68,82884.2665702682,358.77421453071116,58,3,5,1,1,Female,Rural,1
39,65228.90878182932,384.19827906970363,34,1,2,1,0,Female,Suburban,1
34,69975.74619602166,370.82129468003234,24,4,2,0,1,Male,Rural,1
65,65884.24756208395,417.64836366894,29,4,5,1,1,Female,Suburban,1
37,60941.720304089045,638.8402627978537,51,1,2,1,1,Female,Suburban,1
21,43351.456052234265,455.94088703428633,62,4,4,1,1,Male,Rural,1
42,61978.96244786141,98.7524955016251,48,2,1,1,0,Female,Urban,1
59,50078.03486694973,382.5326121390465,39,4,4,1,0,Male,Rural,1
27,39993.689221537075,479.8073075344505,49,3,5,1,1,Male,Urban,1
42,75224.43629095069,488.37811291506046,10,1,4,1,0,Female,Rural,1
24,72825.2931986647,260.27530237172607,46,1,3,1,1,Male,Suburban,1
53,29265.849772638445,483.09222232633783,8,2,5,0,1,Male,Suburban,1
42,62546.30725009745,449.88393593716876,69,1,2,0,0,Male,Urban,1
35,84914.02771799847,680.1524411757622,64,1,2,1,1,Female,Suburban,1
29,86184.47477792641,214.99975692520837,39,4,1,1,1,Female,Suburban,1
47,85516.73685770477,248.9639193039405,30,4,4,1,1,Female,Rural,1
52,65778.26413802919,277.14333321560645,54,2,4,0,1,Male,Rural,1
66,48099.093440616976,251.36889899457145,48,1,4,1,0,Male,Suburban,0
40,43326.02345283879,195.39709503309558,52,1,4,1,1,Male,Suburban,0
26,71892.09809500715,40.0,40,4,1,1,1,Male,Suburban,1
61,72585.60068730326,259.1420736787612,21,2,4,1,1,Female,Suburban,1
50,90746.6222321013,371.7101283579866,10,1,4,1,0,Male,Urban,1
54,86999.59300684166,250.9489416291725,24,2,2,1,1,Female,Urban,1
23,62355.426869376555,590.9533656940754,40,2,3,0,1,Male,Rural,1
34,40115.88242278261,321.8726137802208,33,3,5,0,1,Male,Urban,1
57,58617.86805978204,500.74406772577896,39,2,3,0,1,Female,Suburban,1
61,69344.6238962105,356.5988577821956,24,4,4,0,1,Female,Rural,1
40,60958.33509221192,435.6970233850561,67,3,3,1,1,Male,Suburban,1
59,53442.11783844688,359.0938175506987,30,4,4,0,1,Male,Suburban,1
61,70057.69629939798,511.6298484664988,61,2,4,0,1,Male,Rural,1
38,54920.84517178779,327.8315090185361,31,3,4,0,0,Female,Urban,1
64,52438.678325492525,389.45689913243,35,2,4,0,1,Female,Suburban,1
32,71229.0566860688,371.2866107110061,45,3,5,1,1,Female,Urban,1
30,56960.148397415905,279.64003586217535,23,3,2,1,1,Female,Suburban,1
53,69882.08777956704,376.69752464945475,20,2,5,1,1,Female,Urban,1
51,70464.08045704245,632.8140744676755,31,4,4,1,0,Male,Rural,1
25,42211.4199781685,282.1444281066381,59,4,3,1,0,Male,Suburban,1
61,55375.17752269175,378.72508499945474,15,4,2,1,0,Female,Urban,1
28,93755.53879832925,496.08905312172203,34,1,3,1,1,Male,Suburban,1
59,41758.40974531426,479.6354593321993,50,3,4,0,1,Male,Suburban,1
18,22666.91102058938,321.6402984807111,52,1,2,0,1,Female,Suburban,1
59,27763.09693514977,40.0,34,1,2,0,0,Female,Urban,0
58,65582.19893153338,392.33839461078526,11,4,5,1,1,Male,Suburban,1
58,65618.34556065398,40.0,7,1,3,0,0,Female,Urban,1
52,62647.78289149758,525.7912123317724,37,4,4,0,1,Female,Urban,1
42,89283.79657857004,343.7263419670565,59,2,1,0,1,Male,Suburban,1
54,15000.0,459.9543627820784,7,2,1,0,0,Male,Suburban,1
32,72918.67748861648,193.70444065465284,64,1,5,1,1,Female,Urban,1
58,96228.76403607146,102.6489537379924,50,3,1,1,1,Male,Urban,1
46,42444.38470216572,356.5056137797634,6,3,4,0,1,Female,Suburban,1
41,57403.8697642021,315.2955184061401,28,2,5,0,0,Male,Rural,1
44,49942.16165542758,251.18428433799681,20,4,3,1,1,Male,Rural,1
47,47113.079078449424,331.85257930258695,68,2,5,1,0,Male,Urban,1
19,58474.7598995392,707.4410248845163,42,3,3,1,1,Male,Rural,1
25,93549.7056736901,436.83357663166805,27,2,5,1,1,Female,Suburban,1
30,101747.7335097504,466.92980482086466,24,3,2,0,1,Male,Suburban,1
23,58281.215499197046,438.1511648174698,43,1,3,0,1,Male,Urban,1
40,103101.20428128939,527.124700139307,6,2,2,1,0,Male,Urban,1
52,65711.52953969249,293.3899657938957,22,3,4,1,0,Female,Rural,1
52,100073.82053402162,40.0,16,3,1,1,0,Female,Urban,1
42,63134.02700693016,293.5979413791586,46,2,5,1,0,Female,Urban,1
62,67621.15652092289,433.64299939951024,50,3,1,1,1,Female,Urban,1
47,72309.4894528567,184.2279446838897,36,3,2,0,1,Female,Rural,1
22,128577.07358735071,295.3087669314938,15,2,3,0,0,Female,Rural,1
57,82025.71149689578,223.15223597967616,30,1,1,1,1,Female,Urban,1
47,50854.70940097073,530.2840952580383,61,3,3,0,0,Male,Rural,1
51,84379.95740551715,424.9239821569189,19,4,5,0,1,Female,Rural,1
47,57763.349258313174,411.21568689015425,16,4,5,1,1,Female,Suburban,1
46,55204.99634197581,407.024183836936,13,3,1,0,1,Female,Suburban,1
22,83172.02719784222,314.7851046427022,59,4,3,0,1,Female,Urban,1
47,65621.71175542305,347.6578795538505,13,4,3,0,1,Male,Urban,1
59,70571.51829023613,154.07415872547554,44,3,1,1,1,Male,Rural,1
33,65279.70443730585,40.0,71,1,4,1,1,Female,Urban,1
49,71731.66253210869,341.0113582483034,48,3,3,1,1,Male,Suburban,1
19,73499.31794872298,365.35863587810024,33,3,4,1,1,Female,Suburban,1
36,26260.66134589169,489.29703957955286,19,2,2,1,1,Female,Urban,1
40,78331.45337219068,539.9870142515315,6,4,2,0,1,Male,Rural,1
69,45359.61160339399,539.7997878998526,16,4,4,1,0,Male,Rural,1
29,36154.017288811774,180.2766969388571,68,2,4,1,1,Female,Rural,0
32,63831.77512282635,270.6828951070323,15,2,1,0,1,Male,Suburban,1
39,66679.62006628909,387.24680142339315,7,1,2,1,1,Male,Urban,1
69,51129.87670855438,674.4666548839048,59,1,3,1,1,Male,Urban,1
62,81620.63715335948,527.2138885199482,33,2,5,0,1,Female,Suburban,1
19,38156.49667258186,476.71560267977327,29,2,2,1,1,Male,Rural,1
30,56861.12502454882,265.7096862230993,53,2,2,1,1,Male,Urban,1
60,53302.51730133999,196.35205163828255,40,1,5,0,1,Male,Rural,1
