PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,2,male,,3,0,144.26,C,0
2,3,female,35.7,0,0,43.07,S,0
3,3,male,52.6,0,0,40.21,S,1
4,3,female,46.1,1,2,15.44,Q,0
5,1,male,49.1,1,1,94.09,S,1
6,1,female,,0,0,46.73,Q,1
7,1,male,18.1,0,0,35.31,C,1
8,3,male,28.5,1,0,10.38,C,0
9,3,female,30.7,0,0,34.61,S,1
10,3,male,43.1,3,0,32.49,S,0
11,1,male,9.7,3,0,68.12,C,0
12,3,female,48.4,1,1,76.29,,1
13,3,female,28.1,0,0,12.48,C,0
14,2,female,24.9,1,0,59.45,S,1
15,1,female,17.9,0,0,36.23,C,0
16,1,male,10.1,0,0,88.6,C,1
17,2,male,39.9,0,1,71.29,C,0
18,3,male,30.9,0,1,33.35,C,0
19,2,female,14.5,2,1,57.16,C,1
20,2,female,14.5,1,0,31.32,C,1
21,3,female,26.0,1,0,29.11,S,0
22,1,female,50.0,0,0,81.72,S,1
23,2,male,26.9,0,0,38.44,S,0
24,2,male,12.0,0,0,33.29,S,1
25,2,male,27.1,3,1,40.45,S,0
26,3,male,26.7,0,0,62.85,S,1
27,1,male,1.0,2,0,42.25,S,0
28,3,female,29.3,0,0,15.73,S,0
29,3,male,27.2,0,0,47.35,C,0
30,1,male,,1,0,82.46,Q,0
31,3,male,52.2,0,2,13.18,S,1
32,1,female,43.5,2,1,38.23,Q,1
33,1,female,,2,2,34.59,S,1
34,3,male,16.7,0,0,22.83,S,1
35,3,male,60.9,0,0,27.95,S,0
36,3,female,30.7,0,0,51.45,S,0
37,2,male,30.2,2,0,51.59,C,0
38,1,female,29.7,0,1,59.1,C,1
39,3,female,32.4,1,0,23.03,S,1
40,2,male,28.3,1,0,75.25,S,1
41,1,male,,1,0,49.12,S,1
42,2,female,23.4,0,0,136.05,S,1
43,1,male,29.6,1,1,60.17,S,1
44,3,male,23.5,2,0,14.05,S,0
45,2,female,21.4,0,0,53.83,C,0
46,3,female,31.3,0,0,21.8,Q,1
47,2,female,,3,0,54.78,S,1
48,3,female,48.0,0,1,12.17,Q,1
49,3,male,1.0,2,1,15.77,S,1
50,1,male,43.1,0,2,88.08,S,1
51,3,female,45.0,0,1,17.73,S,1
52,3,female,5.1,2,0,64.43,C,1
53,3,male,25.9,0,0,19.82,Q,1
54,3,female,25.5,0,0,40.89,C,1
55,3,male,13.1,0,0,45.54,S,0
56,3,male,20.7,0,1,31.56,C,1
57,1,male,16.7,0,0,40.93,S,0
58,1,male,51.0,0,2,37.17,Q,0
59,1,male,41.2,3,0,31.01,S,1
60,2,male,45.3,0,0,30.87,S,1
