Feature,Importance
worst area,0.15389236463205394
worst concave points,0.14466326620735528
mean concave points,0.10620998844591638
worst radius,0.07798687515738047
mean concavity,0.06800084191430111
worst perimeter,0.06711483267839194
mean perimeter,0.053269746128179675
mean radius,0.048703371737755234
mean area,0.04755500886018552
worst concavity,0.031801595740040434
area error,0.022406960160458473
worst texture,0.021749011006763207
worst compactness,0.020266035899623565
radius error,0.02013891719419153
mean compactness,0.013944325074050485
mean texture,0.013590877656998469
perimeter error,0.01130301388178435
worst smoothness,0.010644205147280952
worst symmetry,0.010120176131974357
concavity error,0.009385832251596627
mean smoothness,0.007285327830663239
fractal dimension error,0.00532145634222884
compactness error,0.005253215538990106
worst fractal dimension,0.005210118545497296
texture error,0.004723988073894702
smoothness error,0.004270910110504497
symmetry error,0.004018418617722808
mean fractal dimension,0.0038857721093275
mean symmetry,0.003770291819290666
concave points error,0.003513255105598506
