age,gender,city,monthly_charges,tenure_months,contract_type,support_calls,signup_date,total_charges,churn
56,Male,Karachi,71.91,33,Two Year,9,2018-01-01 00:00:00.000000,2414.189705134644,0
69,Male,Lahore,39.81,24,One Year,5,2018-01-02 19:52:04.324324,989.5995455182657,0
46,Male,Peshawar,149.02,11,Month-to-Month,1,2018-01-04 15:44:08.648648,1646.984992074122,0
32,Female,Karachi,140.51,17,One Year,2,2018-01-06 11:36:12.972972,2296.950434685971,0
60,Male,Peshawar,90.19,68,One Year,5,2018-01-08 07:28:17.297297,6166.979282506206,0
25,Male,Lahore,129.46,47,Two Year,3,2018-01-10 03:20:21.621621,6109.720963549844,1
38,Male,Karachi,87.72,25,Month-to-Month,5,2018-01-11 23:12:25.945945,2213.521487659725,1
56,Female,Islamabad,101.07,21,Month-to-Month,0,2018-01-13 19:04:30.270270,2132.253703161549,0
36,Female,Lahore,31.59,12,Month-to-Month,9,2018-01-15 14:56:34.594594,335.14065558339456,1
40,Male,Islamabad,118.19,37,Month-to-Month,0,2018-01-17 10:48:38.918918,4427.178138550956,0
28,Male,Peshawar,36.6,42,One Year,2,2018-01-19 06:40:43.243243,1582.1069860408318,0
28,Male,Peshawar,127.39,17,One Year,7,2018-01-21 02:32:47.567567,2111.858861157767,1
41,Male,Lahore,121.66,48,Two Year,7,2018-01-22 22:24:51.891891,5905.3947505258875,0
53,Female,Peshawar,112.14,28,One Year,3,2018-01-24 18:16:56.216216,3146.5034717317694,0
57,Female,Islamabad,24.7,41,One Year,5,2018-01-26 14:09:00.540540,1019.1568476572586,0
41,Female,Karachi,59.41,47,Two Year,7,2018-01-28 10:01:04.864864,2783.452233179066,0
20,Female,Karachi,54.2,18,Two Year,6,2018-01-30 05:53:09.189189,971.7003301707472,0
39,Male,Karachi,66.82,71,Two Year,6,2018-02-01 01:45:13.513513,4812.764959415488,0
19,Male,Lahore,31.39,13,One Year,3,2018-02-02 21:37:17.837837,459.7237492299258,0
41,Male,Peshawar,141.8,13,One Year,8,2018-02-04 17:29:22.162162,1893.9923541819708,1
61,Female,Islamabad,91.99,31,Two Year,9,2018-02-06 13:21:26.486486,2860.918217627269,0
47,Male,Peshawar,59.72,2,Two Year,5,2018-02-08 09:13:30.810810,163.89858617671982,0
55,Female,Peshawar,71.61,16,Two Year,2,2018-02-10 05:05:35.135135,1104.0443462979713,0
19,Female,Peshawar,78.14,9,One Year,4,2018-02-12 00:57:39.459459,732.4321489249033,0
38,Male,Karachi,98.08,38,One Year,4,2018-02-13 20:49:43.783783,3719.365598401552,0
50,Male,Islamabad,87.04,54,Month-to-Month,4,2018-02-15 16:41:48.108108,4597.169750629585,0
29,Male,Islamabad,139.52,56,One Year,7,2018-02-17 12:33:52.432432,7733.814917058902,0
39,Female,Peshawar,84.61,45,One Year,8,2018-02-19 08:25:56.756756,3774.3010609955386,0
61,Male,Karachi,148.98,34,One Year,8,2018-02-21 04:18:01.081081,5086.077699217435,0
42,Female,Karachi,130.69,9,Two Year,5,2018-02-23 00:10:05.405405,,0
66,Male,Islamabad,47.11,8,One Year,5,2018-02-24 20:02:09.729729,347.32416313076453,0
44,Female,Karachi,140.98,7,Two Year,8,2018-02-26 15:54:14.054054,1025.023046093742,0
59,Female,Karachi,35.13,36,Month-to-Month,3,2018-02-28 11:46:18.378378,1236.9293940275156,1
45,Male,Karachi,126.27,18,Month-to-Month,5,2018-03-02 07:38:22.702702,2339.4003621017205,1
33,Female,Lahore,69.48,3,Two Year,3,2018-03-04 03:30:27.027027,266.6961869910067,0
32,Female,Peshawar,134.14,28,Two Year,0,2018-03-05 23:22:31.351351,3757.0140660285656,0
64,Male,Islamabad,132.85,70,Two Year,6,2018-03-07 19:14:35.675675,9337.173072582917,0
68,Female,Islamabad,124.77,44,One Year,9,2018-03-09 15:06:39.999999,5520.742022717819,0
61,Male,Lahore,122.7,21,Month-to-Month,5,2018-03-11 10:58:44.324324,2564.4167362020303,1
69,Female,Peshawar,59.61,28,Two Year,8,2018-03-13 06:50:48.648648,1712.1617331486073,0
20,Male,Islamabad,30.52,54,One Year,6,2018-03-15 02:42:52.972972,1698.5251027695263,0
54,Male,Karachi,,54,Month-to-Month,6,2018-03-16 22:34:57.297297,3861.43823846048,0
68,Female,Islamabad,42.56,65,One Year,1,2018-03-18 18:27:01.621621,,0
24,Female,Karachi,110.34,21,Month-to-Month,8,2018-03-20 14:19:05.945945,2324.265191128808,1
38,Female,Lahore,64.99,13,One Year,9,2018-03-22 10:11:10.270270,,1
26,Female,Karachi,146.83,57,Month-to-Month,8,2018-03-24 06:03:14.594594,8347.117082477534,1
56,Female,Islamabad,103.33,49,Month-to-Month,5,2018-03-26 01:55:18.918918,5033.281983361178,0
35,Male,Islamabad,126.92,54,One Year,2,2018-03-27 21:47:23.243243,6862.129983015558,0
21,Female,Islamabad,37.23,10,Two Year,0,2018-03-29 17:39:27.567567,431.3679611626786,0
42,Male,Lahore,132.06,53,Month-to-Month,3,2018-03-31 13:31:31.891891,6939.211144229504,0
31,Male,Lahore,139.96,44,Two Year,2,2018-04-02 09:23:36.216216,6106.999692333145,0
67,Female,Peshawar,83.32,47,One Year,0,2018-04-04 05:15:40.540540,3890.01475460147,0
26,Male,Islamabad,98.81,53,Two Year,2,2018-04-06 01:07:44.864864,5219.801146395923,0
43,Male,Karachi,119.43,46,Two Year,3,2018-04-07 20:59:49.189189,5405.500859878125,0
19,Male,Lahore,42.73,13,Two Year,7,2018-04-09 16:51:53.513513,630.3997643457574,0
37,Male,Islamabad,85.33,37,Two Year,8,2018-04-11 12:43:57.837837,3150.6946704325446,1
45,Female,Islamabad,71.83,24,Two Year,2,2018-04-13 08:36:02.162162,1709.9147737910016,0
64,Male,Lahore,39.03,2,Month-to-Month,5,2018-04-15 04:28:06.486486,,1
24,Female,Peshawar,67.78,14,Month-to-Month,9,2018-04-17 00:20:10.810810,984.8096747561907,1
61,Female,Lahore,28.86,10,Month-to-Month,4,2018-04-18 20:12:15.135135,261.82890613333257,1
25,Male,Lahore,23.36,35,One Year,5,2018-04-20 16:04:19.459459,825.8303922654078,0
64,Female,Karachi,37.57,25,Two Year,3,2018-04-22 11:56:23.783783,937.163143381176,0
52,Female,Karachi,145.2,3,Month-to-Month,9,2018-04-24 07:48:28.108108,508.0175428464638,1
31,Female,Peshawar,91.44,17,One Year,5,2018-04-26 03:40:32.432432,1546.1087899158204,0
34,Male,Islamabad,145.56,12,Month-to-Month,6,2018-04-27 23:32:36.756756,1674.6170229070894,1
53,Female,Lahore,,54,Month-to-Month,8,2018-04-29 19:24:41.081081,4022.0187946597352,0
67,Female,Peshawar,60.54,24,Two Year,9,2018-05-01 15:16:45.405405,1526.7180673703344,1
57,Female,Karachi,85.8,29,One Year,6,2018-05-03 11:08:49.729729,2448.769265111868,0
21,Male,Lahore,77.14,43,Two Year,5,2018-05-05 07:00:54.054054,3350.5305827816655,0
19,Female,Islamabad,33.74,25,Two Year,0,2018-05-07 02:52:58.378378,847.0881715357526,0
23,Male,Karachi,103.31,60,Month-to-Month,1,2018-05-08 22:45:02.702702,6177.767260606088,0
59,Male,Karachi,48.08,65,Two Year,0,2018-05-10 18:37:07.027027,3112.2076291498433,0
