age,tenure_months,monthly_charges,support_calls,contract_type,churn
56,15,55.16226872396344,4,2,0
69,64,30.142082844921653,1,2,0
46,28,68.58717591863257,8,1,1
32,39,45.677656772050796,7,1,0
60,57,48.48729019619228,2,2,0
25,17,50.72899649262865,7,2,0
38,44,100.30258978326634,8,1,0
56,25,73.91612766752544,2,2,0
36,17,51.13076991560037,2,2,0
40,13,81.03337833109184,1,1,1
28,25,91.61506742231936,7,2,1
28,68,47.262400073353376,9,2,0
41,10,61.354910152535155,0,2,0
53,67,32.18860933369476,7,1,0
57,18,38.11493495346803,6,2,0
41,34,88.11178539649828,6,1,1
20,8,38.143834769562694,2,1,0
39,40,72.51633836670601,0,0,0
19,42,90.90462617224327,3,0,0
41,41,30.687692309474386,8,2,1
61,6,76.73122196289034,4,1,0
47,52,45.65627837013638,0,0,0
55,26,116.29268752375798,4,2,0
19,64,68.35456467199248,7,0,1
38,59,100.59925497751581,7,0,1
50,56,75.02265421562618,4,1,0
29,59,24.341253285481915,8,1,0
39,70,83.31513755940223,0,0,1
61,33,115.14033422066571,3,0,0
42,53,80.16118201463311,2,1,0
66,22,101.91888594267903,1,2,0
44,21,108.42064633484078,7,1,1
59,70,42.80797719489325,6,0,0
45,70,41.204483990822666,8,2,1
33,4,81.09809888509918,1,0,1
32,62,61.10284698067047,3,2,0
64,62,103.98613028667204,5,0,1
68,24,110.00231233980112,2,2,0
61,55,55.34213793027181,7,2,0
69,9,43.687055897448204,2,0,1
20,3,98.05255152438619,1,2,0
54,31,47.48060355481361,2,1,0
68,40,102.26143185136785,5,0,1
24,36,62.37382536487628,1,1,0
38,24,86.75498992914704,7,0,1
26,6,29.55353138346682,0,2,1
56,66,82.3859324676573,6,2,0
35,4,65.17676787372291,1,2,0
21,6,78.66084631754741,9,0,1
42,51,36.801420774486346,5,1,0
31,62,93.68737449441821,1,1,1
67,57,106.27970775432286,1,0,0
26,66,41.67398000907757,9,0,0
43,8,29.57145555201617,7,1,0
19,26,22.36385860463364,1,1,0
37,51,84.1971500443266,6,1,1
45,45,80.70940360887808,2,1,0
64,44,74.669741271407,7,0,1
24,5,43.194709611597546,6,0,1
61,70,59.09059959055147,7,2,0
25,26,79.4476335186173,6,1,0
64,68,69.67668588591694,5,2,0
52,19,118.77855202148874,6,0,1
31,20,33.64397525567331,4,0,0
34,12,89.51445540475937,6,2,1
53,47,60.431876810429216,0,1,0
67,1,62.819961492561475,0,1,0
57,14,91.75977656581762,8,1,1
21,64,89.24361513243696,4,1,0
19,38,119.12559937021884,4,2,1
23,37,32.83942894541252,2,2,0
59,11,30.410964938416633,4,0,1
21,3,92.43388171287411,2,1,1
46,33,77.83869170064091,8,1,1
35,6,47.416066655980586,8,1,1
43,50,27.94193689889866,5,2,1
61,10,28.565824959643052,0,1,1
51,5,109.41908746641182,6,2,1
27,23,39.18673247187429,6,1,0
53,10,52.33715621155208,9,1,1
31,44,42.6656402226988,9,0,1
48,2,55.49963058319373,3,1,1
65,13,26.94238427460934,7,1,0
32,40,71.90597909082703,5,0,1
25,2,26.76125635922149,3,2,1
31,65,100.03565078223616,3,2,0
40,63,43.3712081910433,1,1,0
57,17,74.00119146045105,1,2,0
38,9,108.00790875614582,3,1,1
33,15,85.08773690471942,4,0,1
62,24,73.29577865513353,7,0,1
35,38,52.43337531153756,5,1,0
64,35,53.300191305819794,3,0,0
41,49,86.94869551981901,6,0,1
43,69,119.41393612211675,7,1,1
42,62,86.18391898493786,1,1,1
62,60,75.77834173700249,6,0,0
58,50,93.06505102392461,1,2,0
46,9,66.52056122837182,1,2,0
32,34,26.01423426007852,7,1,0
62,35,76.22968158779098,1,1,0
18,1,115.76252845053801,8,2,1
42,40,37.530294235765965,0,0,0
24,64,89.00048908206658,8,2,1
26,22,40.093368865905646,0,2,0
41,60,73.58276844730813,9,2,1
18,64,29.66764496467196,9,2,0
61,11,65.03709362581851,1,1,0
25,14,95.61633288952461,5,1,1
41,60,54.757152423898205,5,0,1
28,30,86.4911724487218,0,0,0
68,35,99.54499607897291,6,0,1
34,37,112.71778194794527,7,0,1
25,5,43.46420818554535,1,2,0
52,26,59.931591580930814,7,1,0
52,62,35.24160133304174,8,1,0
50,4,119.24835021583752,5,0,1
22,42,112.70009679242953,4,0,1
59,18,73.99571302805596,8,2,0
56,40,104.20332943764213,8,2,1
58,39,72.09579772720423,0,0,0
45,14,82.35856880027598,2,1,0
24,32,28.912443211601662,8,1,0
26,51,95.52704204968079,1,1,1
25,38,32.77134836352349,3,0,0
29,23,102.60676302525283,3,1,1
51,63,98.20280876703859,1,2,0
50,15,90.87446977429764,2,2,0
65,25,23.616038052476213,2,0,0
40,17,50.31283559453286,0,2,0
41,66,46.311256991084285,5,0,1
54,53,56.01364074715191,7,1,0
52,51,28.764274676383856,2,1,0
61,39,113.69578230310628,4,1,1
57,51,75.38022407123762,0,2,0
39,70,50.55243106580235,9,0,1
44,6,59.698151707428345,6,1,1
52,67,64.72025405048356,9,0,0
