area_sqft,bedrooms,bathrooms,age_of_house,distance_to_city,price
3674,2,1,27,19.03914730875882,542423.9986626159
1360,1,2,38,29.78082639186859,210180.41388798782
1794,2,1,21,12.203372019217511,284290.40512872493
1630,1,1,16,17.641396369030886,237624.3660110094
1595,4,2,33,13.052512981312729,333051.2321102697
3592,4,2,5,25.57087836393392,620274.6563570434
2138,5,1,5,27.164855700404907,405678.7177148187
2669,2,3,33,26.44331275395254,429809.6955687745
966,5,2,0,29.25679492169847,227283.474077154
1738,2,3,9,1.7980563690720435,346837.3978718438
830,5,1,20,25.354668702220398,204287.08912666395
1982,3,2,4,22.801393018133705,363828.9768619578
2635,3,3,1,7.632137872610579,490073.01653824555
3944,3,2,21,28.7332827082383,631681.9225516873
3671,3,1,1,5.297159918668418,633240.0909245427
3419,1,3,9,20.70694788688334,547823.6561650252
630,3,1,33,7.521816287661462,134617.2681343302
2185,4,1,15,13.510038814448166,405188.3585088084
3880,4,2,38,21.8556370113925,642863.7769488132
1269,1,3,21,17.336414618958354,245847.72624414822
2891,3,1,11,13.39755310851524,460031.9452293852
2015,3,1,23,10.463814497027629,352884.79707848135
3985,3,3,39,25.350130015554917,635615.7832773625
3353,5,1,37,5.170616159129597,569048.0858195464
2933,2,1,9,13.472983419364201,467421.05348997057
1715,5,3,34,27.208969581479124,348661.22154574725
1455,2,3,31,25.529636963339062,254406.39917551208
2824,3,3,6,12.627311111718354,488413.09565310425
1684,3,3,20,23.13014254443794,310353.60001039476
959,5,2,19,24.87166409055692,237996.65918159
3885,5,3,25,26.777735296105263,667818.3079421399
521,2,2,3,16.79066730242761,112237.57412682466
2800,4,2,21,6.929365695586642,472428.64969201916
1247,2,2,14,8.403963218614017,227498.13505575559
3404,5,1,39,9.575145547206523,567580.4164685312
974,5,2,20,18.22027194347885,227120.73480987028
1582,1,2,14,1.9514790997296447,270071.21635107556
3058,5,1,21,19.44523159461908,528457.3352572374
2547,1,1,27,11.566272914418729,366390.1586776917
3247,4,1,13,9.562012272199622,530350.364249302
1475,2,3,26,26.505400551115663,263479.269026099
2306,2,1,39,14.340069471843169,366652.3387352839
689,1,1,27,3.7565383204480907,107042.2869946363
3505,2,2,25,24.975656272761164,546787.7082804247
3234,5,1,1,2.381596465658691,596960.5612696331
3505,3,3,24,22.075727500877704,613156.0261483061
1062,1,1,2,23.44328043134929,145741.10266126413
2399,2,3,7,11.225475571936887,421807.1785399746
1767,1,1,32,24.918847832055814,223701.5577059534
3379,1,1,34,15.954122769837149,504130.6541111962
2028,3,1,5,14.435515944911108,358605.1081482687
3702,5,1,38,2.316695162592084,640628.1865314491
1146,1,3,22,9.41084661581827,212185.99182304787
2568,2,3,24,27.999289155673694,437861.334649879
3388,4,2,18,12.3628949352215,599509.0995333055
2714,1,3,4,16.85431509614628,464503.304268755
1797,1,1,10,16.428628690543302,264138.3509610025
2935,3,2,11,18.122501604858105,521225.0613697691
1100,5,2,9,2.778597713655196,274185.9611940098
2863,4,2,7,11.50311138916312,512373.84547147714
2561,2,1,23,21.970719942594073,402841.9187177009
741,4,3,27,6.816247281116505,212262.52666462265
2541,2,1,35,6.903772948844453,385168.37501766835
3324,5,2,36,1.2926275939817171,595908.1830294098
3917,2,1,20,13.686975871638083,635186.5538814041
3112,3,1,7,26.59929703952924,487575.6545374593
3445,3,3,8,2.5051273640319613,635123.1612511589
1863,3,3,14,6.542442575384076,363082.0806533686
2639,3,2,39,9.992451611939897,409591.2258865328
1890,4,1,17,22.220017360362174,322179.00663739425
3503,5,1,19,19.57843219127501,591219.404742697
1978,2,3,5,13.062373232873796,355278.6872553851
3999,2,1,11,23.012999238492895,621466.3018821271
3056,3,1,1,18.679299338050157,473368.49871552625
1275,3,1,6,26.985183190059352,237266.88269710544
534,1,3,15,24.722775725022096,92550.86665010464
2753,5,2,2,8.331594576586816,553876.243997429
3652,4,2,2,8.871718751391807,643275.6304374485
2455,2,1,26,4.635337797979183,411957.35477801174
2085,1,2,39,10.771977045806238,337433.25765290816
3959,1,3,37,29.986773642853734,615512.3250091395
3573,2,3,32,12.76678388983677,574087.1149657259
1521,4,2,27,7.394164605984085,300467.83302819607
3961,1,2,0,23.11200364979104,617663.3968608843
3113,1,1,7,16.731659100417026,489161.90153026686
1629,5,2,36,5.338442036281624,332551.1289174059
2000,4,1,31,12.040000753665108,356371.06214248115
1202,1,1,36,13.019621750640956,177584.2854944508
2949,4,3,3,22.86106131650734,528515.5597927747
3277,2,3,29,1.5994696978652294,537228.905977198
2079,3,3,5,8.801569757151004,401674.4720217891
661,1,3,18,16.010292738150138,133352.38948612448
701,5,2,31,8.796555531132457,208061.7266688922
2481,2,3,8,19.224587375150968,441603.71124912234
1495,4,2,11,14.974156898963882,293989.90079246135
2817,2,3,10,11.48959739092784,475879.1286299187
1315,1,2,15,28.527050179244853,192161.66550730861
3842,4,1,0,19.332625476407266,673154.0855474641
955,3,2,20,4.768299795770296,210677.64135119168
1775,2,2,29,17.242659225858468,296049.2802028169
1516,1,3,12,23.641223742826128,260025.39171737654
2843,5,2,33,21.54620122729112,497768.74856694427
3267,4,1,3,5.9905876495625225,600123.455134628
837,2,1,27,29.200179972162996,135915.21985011792
1378,2,3,37,14.015595726651574,248678.26222001767
1576,3,1,30,5.611725108467578,265209.42857427394
1291,3,2,26,6.22567686971629,239195.33575544003
2764,5,1,4,3.8488147734833342,517917.57225243014
1263,5,3,24,24.302025144613097,280448.0979518094
2735,1,2,2,4.538884335333611,438099.4504814681
879,1,3,32,4.628632457110661,161056.99724931602
992,5,2,3,25.663676828064293,247489.90274779737
3612,5,1,24,10.993518448979229,628733.2628579248
1680,4,3,19,1.894879224934101,352346.32870445197
2562,3,3,33,2.5049636860339155,445281.0258940656
564,1,2,25,5.122942954412971,94883.24375571833
3068,3,3,4,7.188407091294996,573006.1838470978
1867,3,2,34,20.289239632913755,303784.39507166017
1652,5,2,27,5.562462120053019,356085.272354316
2527,4,2,28,4.447357344135088,469995.8376024809
3195,2,2,8,23.176855102812095,517854.01275965286
1995,4,1,37,20.46060323193752,370706.8326441402
3634,4,2,5,13.62440242220185,645001.3824732137
1662,3,3,18,16.929983372923015,350613.5623516468
2022,4,1,10,10.047536589466135,370486.50338181073
3140,1,3,1,14.99251218682546,510698.30666477326
891,3,1,8,15.693506820499628,194469.55055970058
2198,1,2,20,12.229880864164782,347548.1345760472
918,2,1,23,27.29059410949272,172294.38726388753
2836,3,1,33,1.4657940844491781,477659.7116700149
878,2,3,21,23.68296662964614,160548.42007250313
2296,3,3,2,4.607102105998406,417140.6517658412
2778,5,2,11,24.128873455578784,512597.5476592722
3565,4,1,27,18.861445554624915,587951.7075023766
2588,5,1,29,25.45506463715567,459251.4242124701
3599,2,1,25,3.8279154435860265,589182.4431627524
2682,4,2,20,17.210438388893447,495276.26117101545
700,3,2,27,15.531548527603716,149184.9359873498
2363,4,2,25,21.4796023059374,403563.1066669963
1279,1,2,32,16.494426004916598,181243.75696994734
3477,4,2,20,16.681302446860023,587816.6719733193
3604,1,3,34,13.458282363705875,559440.7444157088
3619,4,1,33,9.956198296212884,606069.7337882646
1002,1,1,17,14.985666476313574,144699.81957024673
2954,2,1,10,4.436278404283617,489869.6011624161
2251,5,1,22,28.883886830509457,411596.7153573763
1304,3,1,21,21.71791214517135,234232.246093767
2646,4,1,16,28.621546383947557,433549.108660862
3231,5,1,4,7.575094087568934,595892.3067909705
2395,3,1,10,26.500889585119314,430968.1548463815
3273,3,3,29,24.454909552342617,551983.542851351
2070,1,1,14,20.637419961272535,269366.45352895843
1460,2,3,26,19.125846396470966,282687.34718423255
3160,2,2,34,10.17994029276823,496078.84305674094
1985,5,1,32,24.67591276398589,396459.77759344946
3190,2,2,19,15.54394838291228,519501.50338757713
1528,4,2,15,3.0558557008472755,298873.63388936536
3789,2,2,33,10.07303166479877,570906.50598582
1002,5,3,1,28.1236158578145,289472.4955823237
3314,2,2,34,25.66972755754054,530818.8472312186
897,4,2,39,29.475265244219635,217265.01804228072
1370,1,2,27,19.211808095518844,214852.05918808447
3342,5,1,38,8.177792121071946,576874.2596282328
892,1,1,5,5.72163644062905,153337.5816769926
706,1,3,8,6.420518777645388,148205.1276034663
1538,1,3,19,1.574074092070377,273039.4825910624
2381,3,1,0,12.329781218592236,423082.1687662682
3439,3,3,7,6.551402734486732,596040.0854618318
1984,1,1,22,12.93800835324437,277022.6514436458
1363,5,2,2,28.114838523324195,307133.3109868885
3290,4,2,3,13.485666075708508,574621.39994389
3812,4,3,24,26.46155041256021,602546.8837133388
1063,2,1,37,18.55963823186042,174578.87262799474
1520,5,1,14,8.166815085180366,307012.29934306425
595,3,3,20,11.31978801851713,176857.0538018439
2423,1,1,34,3.433666538821453,377384.05505891825
2257,2,2,13,10.670415214284304,391733.4349585582
3032,4,3,35,20.64868741960249,568603.5801857449
3978,3,3,11,3.0912216949536204,687738.0005554607
2778,3,1,16,6.956640845862851,467658.76564165833
3296,1,3,38,12.061790200986033,527193.2961202677
2178,4,1,8,29.479436573462912,384988.8529948302
3742,5,1,34,23.760992865807527,642746.4101951027
1040,3,1,12,22.271115648271014,180096.79573809615
1559,1,1,14,4.369537739237933,234497.84554879696
3072,5,1,17,23.648880914834752,550038.2614550585
1683,4,3,32,23.772795533964437,310605.04037595657
2222,3,2,5,18.43197817310552,410004.5009235352
3814,5,2,26,29.720491677952786,657129.5510152027
3657,5,3,22,10.432363271812006,655100.3124377731
2319,5,3,26,28.296900999013697,449260.65140448784
3125,3,2,33,27.527202333738604,486303.91097949777
3229,3,2,37,1.3329391327319575,528418.5619733125
3104,2,2,13,14.05337926776952,507588.80465604947
2097,4,2,35,29.336022758495627,368397.8945275877
3560,1,2,7,3.990519509834198,569854.9024353479
3193,5,1,34,16.885756137116264,556360.9833209804
1295,2,3,18,29.389767704192018,241287.22852153235
1551,1,1,29,17.109367299069945,250281.13482615224
2143,2,2,13,6.504643786192523,373116.0760066324
1863,3,2,19,17.8833136726851,354285.1377950768
2481,5,2,24,6.928776644536859,489832.10604887153
1854,1,1,39,16.071423623940042,300238.2356254572
2163,1,1,23,3.147224319458092,335993.9053820078
2029,1,2,13,18.558997407217735,319085.62177098746
2538,1,1,25,15.986908234716587,398578.5050989394
3919,1,1,37,22.46467969408243,576566.8088820365
1996,2,2,22,19.290313663604767,351734.5745881537
3802,5,1,21,16.938581787391943,662313.4001824505
2737,3,3,18,21.003586628195514,448544.982000812
3796,3,3,2,5.174315493594695,673270.511161873
1908,3,3,18,18.265430176499518,363202.8082927728
1900,3,3,8,5.9912074818605525,379605.3960550989
1806,2,2,27,27.840144027704547,289476.2101604447
3180,4,2,19,2.981689040522522,544936.1580425625
3175,5,2,6,13.480867741033004,601081.7860175419
